Runtime dead semantic audit summary
===================================
FILES_SCANNED: 2865
GVL_FIELDS_SCANNED: 6018
DUT_FIELDS_SCANNED: 6144
DUT_TYPES_SCANNED: 962
UNUSED_GVL_FIELDS: 8
UNUSED_DUT_FIELDS: 1753
ORPHAN_DUT_TYPES: 2
SEMANTIC_ZOMBIE_PATTERNS: 889
TOTAL_FINDINGS: 2652
TRUNCATED: False

[UNUSED_DUT_FIELD] Trigger_Count @ ST_Security_Zone_State.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Node_ID @ ST_Heating_Runtime_Causality_Node.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] status @ ST_Calibration_Sensor_Summary.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] calibrated_value @ ST_Calibration_Sensor_Summary.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] deviation_percent @ ST_Calibration_Sensor_Summary.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_active @ ST_Calibration_Sensor_Summary.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_failed @ ST_Calibration_Sensor_Summary.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] record_index @ ST_Calibration_Sensor_Summary.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] label @ ST_Calibration_Sensor_Summary.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] summary_text @ ST_Calibration_Sensor_Summary.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_types @ ST_Flood_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Scenario_Priority @ ST_Ventilation_Scenario_Mode.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Methane_Alarm @ ST_Ventilation_Scenario_Mode.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Smoke_Detected @ ST_Ventilation_Scenario_Mode.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Exhaust_Modes @ ST_Ventilation_Scenario_Mode.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Supply_Modes @ ST_Ventilation_Scenario_Mode.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Backup_Pump_Recovered_After_Retry @ ST_System_Diagnostics.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Electric_Heater_Recovered_After_Retry @ ST_System_Diagnostics.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Pump_Exercise_Active @ ST_System_Diagnostics.dut:13 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Pump_Exercise_Failed @ ST_System_Diagnostics.dut:14 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Pump_Exercise_Last_Equipment @ ST_System_Diagnostics.dut:15 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Pump_Exercise_Last_Result @ ST_System_Diagnostics.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Pump_Exercise_No_Feedback_Count @ ST_System_Diagnostics.dut:17 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Manifold_Pump_Exercise_Count @ ST_System_Diagnostics.dut:18 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] DHW_Heating_Pump_Exercise_Count @ ST_System_Diagnostics.dut:19 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] DHW_Circ_Pump_Exercise_Count @ ST_System_Diagnostics.dut:20 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Backup_Pump_Exercise_Count @ ST_System_Diagnostics.dut:21 - DUT field appears unused as a member access.
